timestamp,original_query,processed_query,similarity_score
2025-02-22 19:26:32,Devsec,d e v s e c,0.0000
2025-02-22 19:26:34,Sec,s e c,0.0000
2025-02-22 19:27:11,securit,s e c u r i t,0.0000
2025-02-22 19:27:17,secuity,s e c u i t y,0.0000
